# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.00%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3273     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3307     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3342     [kernel.vmlinux]      [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3326     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3292     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3312     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3278     [kernel.vmlinux]      [k] update_process_times
     0.00%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3286     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3342     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3301     [kernel.vmlinux]      [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3297     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3324     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] xas_start
     0.00%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3286     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3317     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3292     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] io_clean_op
     0.00%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] xa_get_order
     0.00%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] io_clean_op
     0.00%     0.00%  iou-wrk-3330     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3314     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3278     [kernel.vmlinux]      [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3273     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3266     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3304     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3317     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3286     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] io_wqe_dec_running
     0.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3315     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] get_mem_cgroup_from_mm
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] mempool_alloc
     0.00%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3308     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] update_process_times
     0.00%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3341     [kernel.vmlinux]      [k] psi_memstall_enter
     0.00%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] __next_zones_zonelist
     0.00%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3327     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3269     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] iov_iter_restore
     0.00%     0.00%  iou-wrk-3330     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] update_min_vruntime
     0.00%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3297     [kernel.vmlinux]      [k] enqueue_timer
     0.00%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3306     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] update_process_times
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] hrtimer_interrupt
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3322     [kernel.vmlinux]      [k] xa_get_order
     0.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] hrtimer_interrupt
     0.00%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3334     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] __mod_node_page_state
     0.00%     0.00%  iou-wrk-3300     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3296     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3273     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3264     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3270     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] xa_get_order
     0.00%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  fio              [kernel.vmlinux]      [k] tick_program_event
     0.00%     0.00%  iou-wrk-3340     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3266     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] blk_throtl_bio
     0.00%     0.00%  iou-wrk-3314     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3317     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] hrtimer_interrupt
     0.00%     0.00%  iou-wrk-3307     [kernel.vmlinux]      [k] bio_alloc_bioset
     0.00%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3307     [kernel.vmlinux]      [k] charge_memcg
     0.00%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] psi_flags_change
     0.00%     0.00%  iou-wrk-3329     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] io_wq_worker_sleeping
     0.00%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] xa_get_order
     0.00%     0.00%  iou-wrk-3319     [kernel.vmlinux]      [k] __rdgsbase_inactive
     0.00%     0.00%  iou-wrk-3330     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3279     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3274     [kernel.vmlinux]      [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3337     [kernel.vmlinux]      [k] __cond_resched
     0.00%     0.00%  iou-wrk-3334     [kernel.vmlinux]      [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3269     [kernel.vmlinux]      [k] lru_gen_add_page
     0.00%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] __cgroup_account_cputime
     0.00%     0.00%  iou-wrk-3264     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3320     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3343     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] xa_get_order
     0.00%     0.00%  iou-wrk-3270     [kernel.vmlinux]      [k] __check_block_validity.constprop.0
     0.00%     0.00%  iou-wrk-3336     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  iou-wrk-3316     [kernel.vmlinux]      [k] io_cqring_ev_posted
     0.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3332     [kernel.vmlinux]      [k] _raw_spin_unlock_irqrestore
     0.00%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3282     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] page_cache_sync_ra
     0.00%     0.00%  iou-wrk-3271     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]      [k] xas_start
     0.00%     0.00%  kswapd0          [kernel.vmlinux]      [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3292     [kernel.vmlinux]      [k] xa_load
     0.00%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3327     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3288     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] __slab_free
     0.00%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3270     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  fail2ban-server  [kernel.vmlinux]      [k] do_sys_poll
     0.00%     0.00%  iou-wrk-3311     [kernel.vmlinux]      [k] workingset_eviction
     0.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] __update_load_avg_se
     0.00%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3280     [kernel.vmlinux]      [k] psi_memstall_leave
     0.00%     0.00%  iou-wrk-3308     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3308     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3287     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3338     [kernel.vmlinux]      [k] __free_one_page
     0.00%     0.00%  iou-wrk-3317     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3315     [kernel.vmlinux]      [k] xas_start
     0.00%     0.00%  iou-wrk-3285     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] tick_sched_timer
     0.00%     0.00%  fio              [kernel.vmlinux]      [k] put_pid.part.0
     0.00%     0.00%  iou-wrk-3305     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] __list_add_valid
     0.00%     0.00%  iou-wrk-3318     [kernel.vmlinux]      [k] lru_gen_del_page
     0.00%     0.00%  iou-wrk-3310     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3335     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3302     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3322     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3333     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3289     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3306     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3291     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3288     [kernel.vmlinux]      [k] __mod_lruvec_page_state
     0.00%     0.00%  iou-wrk-3325     [kernel.vmlinux]      [k] enqueue_timer
     0.00%     0.00%  iou-wrk-3341     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] current_time
     0.00%     0.00%  iou-wrk-3265     [kernel.vmlinux]      [k] rcu_read_unlock_strict
     0.00%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] io_wq_worker_sleeping
     0.00%     0.00%  iou-wrk-3270     [kernel.vmlinux]      [k] xas_clear_mark
     0.00%     0.00%  iou-wrk-3313     [kernel.vmlinux]      [k] __mod_lruvec_state
     0.00%     0.00%  iou-wrk-3288     [kernel.vmlinux]      [k] __hrtimer_run_queues
     0.00%     0.00%  iou-wrk-3276     [kernel.vmlinux]      [k] rb_next
     0.00%     0.00%  iou-wrk-3281     [kernel.vmlinux]      [k] ext4_es_lookup_extent
     0.00%     0.00%  iou-wrk-3326     [kernel.vmlinux]      [k] dequeue_task
     0.00%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] update_process_times
     0.00%     0.00%  iou-wrk-3295     [kernel.vmlinux]      [k] tick_sched_handle.isra.0
     0.00%     0.00%  iou-wrk-3284     [kernel.vmlinux]      [k] ext4_inode_block_valid
     0.00%     0.00%  iou-wrk-3323     [kernel.vmlinux]      [k] xas_init_marks
     0.00%     0.00%  iou-wrk-3309     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3342     [kernel.vmlinux]      [k] percpu_counter_add_batch
     0.00%     0.00%  iou-wrk-3299     [kernel.vmlinux]      [k] ext4_es_lookup_extent
